23
Baahubali, 1007201500, amarendra@gmail.com
Bhairava, 2706202400, kalki@gmail.com
Billa, 0304200900, billa_ranga@gmail.com
Chakram, 2503200500, chakram@gmail.com
Chotu, 2910200900, ek_niranjan@gmail.com
Devaratha, 2212202300, salaar@gmail.com
Eeshwar, 1105200200, eeshwar@gmail.com
Eeswar Prasad, 1201200700, yogi@gmail.com
Jai, 2809201200, mirchi@gmail.com
Munna, 0205200700, munna@gmail.com
Prabhas, 2304201000, darling@gmail.com
Raghava, 1606202300, adipurush@gmail.com
Raghavendra, 3010200300, raghavendra@gmail.com
Ramu, 2503200400, adaviramudu@gmail.com
Rishi, 0802201300, rebel@gmail.com
Saaho, 2008101900, saaho@gmail.com
Siva Kesava, 2104200600, pournami@gmail.com
Sivaji, 2908200500, chatrapathi@gmail.com
Venkat, 1401200400, varsham@gmail.com
Vicky, 2204201100, mr_perfect@gmail.com
Vikramaditya, 1103202200, radheshyam@gmail.com
Uday, 9123456780, uday@gmail.com
Uday, 8123456790, udaykumar@gmail.com
